series,release_date,title,rating
The Last Exorcism Collection,2010-08-27,The Last Exorcism,5.6
Schule Collection,2000-12-07,No More School,5.5
Herr Lehmann Filmreihe,2010-11-30,Neue Vahr Süd,6.1
Ice Age Collection,2012-06-26,Ice Age: Continental Drift,6.2
Chili Palmer Collection,2005-03-04,Be Cool,5.4
The Up Series,2005-09-15,49 Up,6.9
Dennis the Menace Collection,2007-11-10,A Dennis the Menace Christmas,4.8
Valami Amerika gyűjtemény,2008-12-18,A Kind of America 2,7.2
Pokémon Collection,2000-07-08,Pokémon: Spell of the Unknown,6.0
Batman Unlimited Collection,2016-08-30,Batman Unlimited: Mechs vs. Mutants,5.2
,2015-12-24,Joy,6.4
,2007-10-26,Jab We Met,7.2
,2011-03-21,Triangle: Remembering the Fire,0.0
,2001-01-20,L.I.E.,6.7
,2012-05-11,Gabbar Singh,5.1
,2011-10-11,Cafe,5.2
,2009-09-11,The Good Heart,6.0
,2009-11-06,Darfur,6.1
,2012-08-27,Hemingway & Gellhorn,6.1
,2009-04-29,"Die Frau, die im Wald verschwand",0.0
,2015-05-14,Tale of Tales,6.1
,2014-07-19,Drops of Joy,8.0
,2017-08-04,Chronically Metropolitan,5.8
,2010-08-10,Petty Romance,6.2
,2012-03-02,The Samaritan,5.2
,2016-10-18,First Girl I Loved,6.9
,2009-11-06,Gaiir,0.0
,2006-04-13,Raising Jeffrey Dahmer,5.0
,2005-06-22,Southbounders,6.0
,2016-09-01,Much Ado About Nothing,6.5
,2007-11-29,Kuka,6.3
,2006-09-15,Everyones Hero,5.9
,2015-01-04,Pirates Passage,6.0
,2014-07-05,Killing Daddy,6.8
,2014-01-20,The Sleepwalker,4.1
,2010-01-25,Skateland,5.8
,2013-09-05,Til Madness Do Us Part,6.8
,2011-05-13,Go for It!,4.6
,2010-04-24,Spork,7.0
,2011-09-30,The Pool Boys,5.0
,2012-08-23,The Apparition,4.5
,2012-02-11,Dragon Age: Dawn of the Seeker,5.2
,2016-04-27,A Dragon Arrives!,3.9
,2007-12-27,Rainbow Eyes,7.6
,2005-11-29,The Life Coach,6.0
,2016-04-30,Do Not Resist,6.6
,2012-03-29,Beyond,4.7
,2013-10-11,"Gahan Wilson: Born Dead, Still Weird",0.0
,2003-11-17,Ricky Gervais Live: Animals,7.5
,2011-03-22,Last Will,3.8
,2003-12-29,Tokyo Godfathers,7.7
,2006-01-13,Glory Road,7.2
,2010-07-04,18 Years Later,7.1
,2004-05-22,Sugar,4.6
,2015-05-15,Bombay Velvet,5.4
,2008-08-21,Plus one,4.0
,2016-01-28,One Breath,5.8
,2009-10-25,Dark Fields,3.4
,2010-01-26,Louis C.K.: Hilarious,8.2
,2000-10-01,George Washington,6.4
,2005-10-01,Sidekick,7.0
,2013-04-15,Village People,4.3
,2007-06-01,When Night Falls,4.3
,2007-11-06,Your Friend the Rat,6.7
,2010-01-18,Škola princů,7.0
,2014-04-17,Let Us Prey,5.5
,2013-02-23,A Story of Yonosuke,7.2
,2011-09-12,Marvel One-Shot: The Consultant,6.6
,2008-07-17,Four Nights with Anna,5.2
,2012-07-19,Man for a Day,6.9
,2008-12-25,The Other Man,5.1
,2015-01-12,Snowden’s Great Escape,8.7
,2012-08-27,After,5.6
,2011-09-11,11 Flowers,7.3
,2005-11-21,The Cutter,4.1
,2009-08-19,9,6.6
,2007-05-15,Roanoke: The Lost Colony,0.0
,2001-08-01,Dischord,0.0
,2009-10-20,Oil City Confidential,8.5
,2012-10-19,Nobody Walks,5.0
,2008-11-20,Haunted Echoes,4.3
,2001-09-07,Quitting,7.2
,2014-06-06,Holiday,5.8
,2003-08-18,Green Tea,7.4
,2013-10-17,Frau Ella,6.0
,2001-06-15,Bully,6.7
,2006-02-24,Blood Curse,5.9
,2010-03-10,Magic & Bird: A Courtship of Rivals,8.3
,2011-04-29,"Lebanon, Pa.",4.9
,2009-12-03,Babysitters Beware,5.0
,2005-07-25,Seven Swords,6.0
,2015-09-26,Follow,5.5
,2003-02-23,1st to Die,3.0
,2011-07-25,"Dont Hug Me, Im Scared",7.5
,2008-01-15,Cloverfield,6.4
,2007-01-01,Viva,5.6
,2010-01-01,Murder by Proxy:  How America Went Postal,7.0
,2007-01-01,Larry Flynt: The Right to Be Left Alone,5.0
,2011-10-03,Girl Fight,5.9
,2009-10-07,The Misfortunates,7.3
,2012-09-07,The Deep,6.2
,2016-08-31,Nocturama,7.1
,2014-02-19,Tillbaka till Bromma,5.7
,2014-09-05,The Identical,4.9
,2012-11-24,Labyrinth,5.9
,2005-06-08,The Chumscrubber,6.7
,2005-03-11,The Dark Hours,5.5
,2002-11-15,Murder in Greenwich,4.0
,2007-10-28,Puffball,3.1
,2009-03-14,Breaking Upwards,5.7
